draft_year,lg,draft_pick,draft_round,tm,player,player_id,college
2025,NBA,1.0,1.0,DAL,Cooper Flagg,flaggco01,Duke
2025,NBA,2.0,1.0,SAS,Dylan Harper,harpedy01,Rutgers University
2025,NBA,3.0,1.0,PHI,VJ Edgecombe,edgecvj01,Baylor
2025,NBA,4.0,1.0,CHO,Kon Knueppel,knuepko01,Duke
2025,NBA,5.0,1.0,UTA,Ace Bailey,baileac01,Rutgers University
2025,NBA,6.0,1.0,WAS,Tre Johnson,johnstr03,Texas
2025,NBA,7.0,1.0,NOP,Jeremiah Fears,fearsje01,Oklahoma
2025,NBA,8.0,1.0,BRK,Egor Demin,demineg01,BYU
2025,NBA,9.0,1.0,TOR,Collin Murray-Boyles,murraco01,South Carolina
2025,NBA,10.0,1.0,HOU,Khaman Maluach,maluakh01,Duke
2025,NBA,11.0,1.0,POR,Cedric Coward,cowarce01,Washington State
2025,NBA,12.0,1.0,CHI,Noa Essengue,essenno01,
2025,NBA,13.0,1.0,ATL,Derik Queen,queende01,Maryland
2025,NBA,14.0,1.0,SAS,Carter Bryant,bryanca01,Arizona
2025,NBA,15.0,1.0,OKC,Thomas Sorber,sorbeth01,Georgetown
2025,NBA,16.0,1.0,MEM,Yang Hansen,yangha01,
2025,NBA,17.0,1.0,MIN,Joan Beringer,berinjo01,
2025,NBA,18.0,1.0,WAS,Walter Clayton,claytwa01,Florida
2025,NBA,19.0,1.0,BRK,Nolan Traoré,traorno01,
2025,NBA,20.0,1.0,MIA,Kasparas Jakucionis,jakucka01,Illinois
2025,NBA,21.0,1.0,UTA,Will Riley,rileywi01,Illinois
2025,NBA,22.0,1.0,ATL,Drake Powell,poweldr01,UNC
2025,NBA,23.0,1.0,IND,Asa Newell,newelas01,Georgia
2025,NBA,24.0,1.0,OKC,Nique Clifford,cliffni01,Colorado State
2025,NBA,25.0,1.0,ORL,Jase Richardson,richaja02,Michigan State
2025,NBA,26.0,1.0,BRK,Ben Saraf,sarafbe01,
2025,NBA,27.0,1.0,BRK,Danny Wolf,wolfda01,Michigan
2025,NBA,28.0,1.0,BOS,Hugo González,gonzahu01,
2025,NBA,29.0,1.0,PHO,Liam McNeeley,mcneeli01,UConn
2025,NBA,30.0,1.0,LAC,Yanic Konan Niederhauser,konanya01,Penn State
2025,NBA,31.0,2.0,MIN,Rasheer Fleming,flemira01,Saint Joseph's
2025,NBA,32.0,2.0,BOS,Noah Penda,pendano01,
2025,NBA,33.0,2.0,CHO,Sion James,jamessi01,Duke
2025,NBA,34.0,2.0,CHO,Ryan Kalkbrenner,kalkbry01,Creighton
2025,NBA,35.0,2.0,PHI,Johni Broome,broomjo01,Auburn
2025,NBA,36.0,2.0,BRK,Adou Thiero,thierad01,Arkansas
2025,NBA,37.0,2.0,DET,Chaz Lanier,laniech01,Tennessee
2025,NBA,38.0,2.0,SAS,Kam Jones,joneska03,Marquette
2025,NBA,39.0,2.0,TOR,Alijah Martin,martial01,Florida
2025,NBA,40.0,2.0,WAS,Micah Peavy,peavymi01,Georgetown
2025,NBA,41.0,2.0,GSW,Koby Brea,breako01,Kentucky
2025,NBA,42.0,2.0,SAC,Maxime Raynaud,raynama01,Stanford
2025,NBA,43.0,2.0,UTA,Jamir Watkins,watkija01,Florida State
2025,NBA,44.0,2.0,OKC,Brooks Barnhizer,barnhbr01,Northwestern
2025,NBA,45.0,2.0,CHI,Rocco Zikarsky,zikarro01,
2025,NBA,46.0,2.0,ORL,Amari Williams,william01,Kentucky
2025,NBA,47.0,2.0,MIL,Bogoljub Markovic,markobo01,
2025,NBA,48.0,2.0,MEM,Javon Small,smallja01,West Virginia
2025,NBA,49.0,2.0,CLE,Tyrese Proctor,proctty01,Duke
2025,NBA,50.0,2.0,NYK,Kobe Sanders,sandeko01,Nevada
2025,NBA,51.0,2.0,LAC,Mohamed Diawara,diawamo01,
2025,NBA,52.0,2.0,PHO,Alex Toohey,tooheal01,
2025,NBA,53.0,2.0,UTA,John Tonje,tonjejo01,Wisconsin
2025,NBA,54.0,2.0,IND,Taelon Peter,peterta01,Liberty
2025,NBA,55.0,2.0,LAL,Lachlan Olbrich,olbrila01,
2025,NBA,56.0,2.0,MEM,Will Richard,richawi02,Florida
2025,NBA,57.0,2.0,ORL,Max Shulga,shulgma01,VCU
2025,NBA,58.0,2.0,CLE,Saliou Niang,niangsa01,
2025,NBA,59.0,2.0,HOU,Jahmai Mashack,mashaja01,Tennessee
2024,NBA,1.0,1.0,ATL,Zaccharie Risacher,risacza01,
2024,NBA,2.0,1.0,WAS,Alex Sarr,sarral01,
2024,NBA,3.0,1.0,HOU,Reed Sheppard,sheppre01,Kentucky
2024,NBA,4.0,1.0,SAS,Stephon Castle,castlst01,UConn
2024,NBA,5.0,1.0,DET,Ron Holland,hollaro01,
2024,NBA,6.0,1.0,CHO,Tidjane Salaün,salauti01,
2024,NBA,7.0,1.0,POR,Donovan Clingan,clingdo01,UConn
2024,NBA,8.0,1.0,SAS,Rob Dillingham,dilliro01,Kentucky
2024,NBA,9.0,1.0,MEM,Zach Edey,edeyza01,Purdue
