league,lg,season,season_start_year,player_name,player_id,team,pos,age,g,mp_per_game,pts_per_game,ast_per_game,trb_per_game,orb_per_game,drb_per_game,fg_per_game,fga_per_game,fg_percent,x3p_per_game,x3pa_per_game,x3p_percent,ft_per_game,fta_per_game,ft_percent,stl_per_game,blk_per_game,tov_per_game,pf_per_game,draft_year,draft_round,draft_pick,draft_team,college,rookie_season_start_year,career_year,class
NCAA,NCAA,2003,2003,Kee-Kee Clark,,,,,29,38.2,24.9,4.2,3.3,0.8,2.4,8.0,20.1,0.396,3.8,9.6,0.392,5.2,6.1,0.853,1.4,0.2,4.0,1.9,,,,,,2003,1,Fr
NCAA,NCAA,2003,2003,Carmelo Anthony,,,,,35,36.4,22.2,2.2,9.7,2.9,6.9,7.9,17.5,0.453,1.6,4.7,0.337,4.8,6.8,0.706,1.5,0.9,2.2,2.2,,,,,,2003,1,Fr
NCAA,NCAA,2003,2003,Darshan Luckey,,,,,28,37.5,21.6,1.6,5.1,0.8,4.4,7.2,18.8,0.383,1.6,5.9,0.28,5.6,7.2,0.777,1.7,0.3,4.1,2.3,,,,,,2003,1,Fr
NCAA,NCAA,2003,2003,Craig Smith,,,,,31,31.9,19.9,1.3,7.9,3.2,4.7,7.8,12.9,0.603,0.1,0.5,0.2,4.3,6.3,0.677,0.9,0.9,2.4,3.4,,,,,,2003,1,Fr
NCAA,NCAA,2003,2003,Ike Diogu,,,,,32,32.2,19.0,0.8,7.8,3.1,4.8,6.6,10.8,0.609,0.3,0.8,0.375,5.6,7.7,0.735,0.3,1.0,2.8,2.9,,,,,,2003,1,Fr
NCAA,NCAA,2003,2003,Jamar Wilson,,,,,27,37.2,18.9,3.3,3.8,1.5,2.3,6.8,13.9,0.488,1.2,3.4,0.359,4.1,5.0,0.815,0.8,0.1,3.6,3.0,,,,,,2003,1,Fr
NCAA,NCAA,2003,2003,Gary Neal,,,,,29,32.1,18.6,1.6,4.2,1.2,3.0,5.8,14.6,0.4,3.0,7.9,0.374,4.0,4.9,0.817,0.6,0.0,2.2,2.3,,,,,,2003,1,Fr
NCAA,NCAA,2003,2003,Johnny Hollingsworth,,,,,28,35.7,17.4,4.1,2.9,0.6,2.3,5.7,11.2,0.506,0.8,2.0,0.386,5.3,6.9,0.771,2.2,0.1,2.4,2.4,,,,,,2003,1,Fr
NCAA,NCAA,2003,2003,Brion Rush,,,,,30,34.0,17.1,2.9,3.8,0.8,3.0,6.1,14.1,0.434,3.0,7.2,0.419,1.8,2.4,0.775,1.6,0.1,2.7,2.5,,,,,,2003,1,Fr
NCAA,NCAA,2003,2003,Allen Lovett,,,,,31,31.6,17.1,2.0,7.1,2.3,4.7,5.9,13.4,0.439,0.5,1.8,0.263,4.8,7.9,0.615,1.2,0.3,3.2,2.3,,,,,,2003,1,Fr
NCAA,NCAA,2003,2003,J.J. Barea,,,,,28,32.1,17.0,3.9,3.0,0.8,2.3,5.6,13.9,0.407,1.7,5.4,0.316,4.0,5.1,0.785,1.6,0.0,2.8,2.6,,,,,,2003,1,Fr
NCAA,NCAA,2003,2003,Rashad McCants,,,,,35,29.9,17.0,1.5,4.9,1.9,3.0,6.2,12.5,0.493,2.1,5.0,0.414,2.6,3.8,0.697,1.4,0.5,2.3,2.7,,,,,,2003,1,Fr
NCAA,NCAA,2003,2003,Nate Carter,,,,,24,31.1,16.3,1.5,5.4,2.0,3.4,5.5,11.3,0.491,0.8,2.0,0.375,4.5,5.7,0.788,0.7,0.3,2.8,2.6,,,,,,2003,1,Fr
NCAA,NCAA,2003,2003,Bracey Wright,,,,,30,33.6,16.2,2.1,5.0,1.4,3.6,5.2,12.1,0.433,2.2,5.9,0.375,3.5,4.7,0.752,0.8,0.6,2.1,2.0,,,,,,2003,1,Fr
NCAA,NCAA,2003,2003,Thurman Zimmerman,,,,,31,31.8,16.0,1.8,7.6,2.4,5.3,5.4,10.6,0.506,1.0,2.9,0.337,4.3,5.5,0.782,1.6,0.2,3.0,3.0,,,,,,2003,1,Fr
NCAA,NCAA,2003,2003,Chris Bosh,,,,,31,31.0,15.7,1.2,9.0,3.1,5.9,5.5,9.7,0.56,0.7,1.5,0.468,4.1,5.6,0.73,1.0,2.1,2.3,2.4,,,,,,2003,1,Fr
NCAA,NCAA,2003,2003,Landy Thompson,,,,,27,34.7,15.6,2.6,4.3,1.6,2.7,5.0,14.1,0.355,2.3,6.4,0.356,3.3,4.7,0.701,1.6,0.1,2.2,2.7,,,,,,2003,1,Fr
NCAA,NCAA,2003,2003,Tim Smith,,,,,31,32.5,15.3,3.7,3.7,0.9,2.8,5.6,12.7,0.441,1.3,3.0,0.424,2.8,3.9,0.733,2.4,0.0,4.1,2.2,,,,,,2003,1,Fr
NCAA,NCAA,2003,2003,Daniel Horton,,,,,30,36.1,15.2,4.5,2.3,0.5,1.8,5.0,13.5,0.372,2.5,7.2,0.343,2.7,3.5,0.764,1.4,0.4,3.7,2.6,,,,,,2003,1,Fr
NCAA,NCAA,2003,2003,Gabe Martin,,,,,28,32.9,15.1,2.2,6.5,1.9,4.7,4.3,10.1,0.423,1.3,3.9,0.327,5.3,6.1,0.86,1.6,0.8,3.3,2.9,,,,,,2003,1,Fr
NCAA,NCAA,2003,2003,Kevin Criswell,,,,,30,29.5,15.1,1.4,4.4,1.6,2.9,4.8,12.3,0.391,2.1,6.0,0.344,3.4,4.2,0.803,1.1,0.3,1.6,2.6,,,,,,2003,1,Fr
NCAA,NCAA,2003,2003,J.J. Redick,,,,,33,30.7,15.0,2.0,2.5,0.6,1.9,4.5,10.9,0.413,2.9,7.2,0.399,3.1,3.4,0.919,1.2,0.1,1.6,1.7,,,,,,2003,1,Fr
NCAA,NCAA,2003,2003,Paul McMillan,,,,,31,30.6,14.5,0.6,9.0,3.4,5.6,5.8,12.4,0.471,0.3,1.1,0.273,2.6,4.0,0.64,1.0,0.5,2.3,3.2,,,,,,2003,1,Fr
NCAA,NCAA,2003,2003,Antoine Wright,,,,,28,31.8,14.5,1.8,6.6,1.2,5.4,5.1,14.1,0.364,2.3,5.9,0.382,2.0,3.2,0.611,1.3,0.7,2.3,2.7,,,,,,2003,1,Fr
