player_name,player_id,lg,season,season_start_year,team,pos,class_year,g,mp_per_game,pts_per_game,ast_per_game,trb_per_game,orb_per_game,drb_per_game,stl_per_game,blk_per_game,tov_per_game,fg_percent,x3p_percent,ft_percent
Kee-Kee Clark,,NCAA,2003-04,2003,,,Fr,29,38.2,24.9,4.2,3.3,0.8,2.4,1.4,0.2,4.0,0.396,0.392,0.853
Carmelo Anthony,,NCAA,2003-04,2003,,,Fr,35,36.4,22.2,2.2,9.7,2.9,6.9,1.5,0.9,2.2,0.453,0.337,0.706
Darshan Luckey,,NCAA,2003-04,2003,,,Fr,28,37.5,21.6,1.6,5.1,0.8,4.4,1.7,0.3,4.1,0.383,0.28,0.777
Craig Smith,,NCAA,2003-04,2003,,,Fr,31,31.9,19.9,1.3,7.9,3.2,4.7,0.9,0.9,2.4,0.603,0.2,0.677
Ike Diogu,,NCAA,2003-04,2003,,,Fr,32,32.2,19.0,0.8,7.8,3.1,4.8,0.3,1.0,2.8,0.609,0.375,0.735
Jamar Wilson,,NCAA,2003-04,2003,,,Fr,27,37.2,18.9,3.3,3.8,1.5,2.3,0.8,0.1,3.6,0.488,0.359,0.815
Gary Neal,,NCAA,2003-04,2003,,,Fr,29,32.1,18.6,1.6,4.2,1.2,3.0,0.6,0.0,2.2,0.4,0.374,0.817
Johnny Hollingsworth,,NCAA,2003-04,2003,,,Fr,28,35.7,17.4,4.1,2.9,0.6,2.3,2.2,0.1,2.4,0.506,0.386,0.771
Brion Rush,,NCAA,2003-04,2003,,,Fr,30,34.0,17.1,2.9,3.8,0.8,3.0,1.6,0.1,2.7,0.434,0.419,0.775
Allen Lovett,,NCAA,2003-04,2003,,,Fr,31,31.6,17.1,2.0,7.1,2.3,4.7,1.2,0.3,3.2,0.439,0.263,0.615
J.J. Barea,,NCAA,2003-04,2003,,,Fr,28,32.1,17.0,3.9,3.0,0.8,2.3,1.6,0.0,2.8,0.407,0.316,0.785
Rashad McCants,,NCAA,2003-04,2003,,,Fr,35,29.9,17.0,1.5,4.9,1.9,3.0,1.4,0.5,2.3,0.493,0.414,0.697
Nate Carter,,NCAA,2003-04,2003,,,Fr,24,31.1,16.3,1.5,5.4,2.0,3.4,0.7,0.3,2.8,0.491,0.375,0.788
Bracey Wright,,NCAA,2003-04,2003,,,Fr,30,33.6,16.2,2.1,5.0,1.4,3.6,0.8,0.6,2.1,0.433,0.375,0.752
Thurman Zimmerman,,NCAA,2003-04,2003,,,Fr,31,31.8,16.0,1.8,7.6,2.4,5.3,1.6,0.2,3.0,0.506,0.337,0.782
