league,lg,season,season_start_year,player_name,player_id,team,pos,g,mp_per_game,pts_per_game,ast_per_game,trb_per_game,orb_per_game,fg_per_game,fga_per_game,fg_percent,x3p_per_game,x3pa_per_game,x3p_percent,x2p_per_game,x2pa_per_game,x2p_percent,ft_per_game,fta_per_game,ft_percent,stl_per_game,blk_per_game,tov_per_game,pf_per_game,draft_year,draft_round,draft_pick,draft_team,college,rookie_season_start_year,career_year,GS
WNBA,WNBA,1997-98,1997,Anita Maxwell,,CLE,F,9,7.0,2.1,0.9,1.3,0.2,0.9,2.8,0.32,0.0,0.0,,0.9,2.8,0.32,0.3,0.9,0.375,0.4,0.0,0.7,0.6,,,,,,1997,1.0,0
WNBA,WNBA,1997-98,1997,Tammi Reiss,,UTA,G,28,29.7,7.7,3.1,2.8,1.0,2.6,8.3,0.312,1.1,3.6,0.297,1.5,4.6,0.323,1.5,2.0,0.764,0.8,0.1,2.2,2.0,,,,,,1997,1.0,26
WNBA,WNBA,1997-98,1997,Catarina Pollini,,HOU,F,13,7.2,1.7,0.4,0.9,0.2,0.6,1.7,0.364,0.0,0.0,,0.6,1.7,0.364,0.5,0.9,0.5,0.3,0.1,0.6,1.6,,,,,,1997,1.0,0
WNBA,WNBA,1997-98,1997,Bridget Pettis,,PHO,G,28,30.1,12.6,2.8,3.8,1.3,3.8,11.4,0.334,1.5,4.8,0.306,2.4,6.6,0.355,3.5,3.9,0.898,1.8,0.4,2.9,2.0,,,,,,1997,1.0,28
WNBA,WNBA,1997-98,1997,Kim Perrot,,HOU,G,28,24.7,5.8,3.1,2.7,0.6,2.1,5.8,0.364,1.0,3.5,0.283,1.1,2.3,0.492,0.5,1.3,0.405,2.5,0.1,2.3,1.9,,,,,,1997,1.0,24
WNBA,WNBA,1997-98,1997,Jasmina Perazic-Gipe,,NYL,G-F,9,5.2,1.1,0.4,1.2,0.2,0.6,1.4,0.385,0.0,0.3,0.0,0.6,1.1,0.5,0.0,0.0,,0.3,0.0,0.8,0.1,,,,,,1997,1.0,0
WNBA,WNBA,1997-98,1997,Wendy Palmer,,UTA,F,28,33.4,15.8,1.7,8.0,2.7,5.6,15.0,0.374,0.4,1.7,0.25,5.2,13.3,0.39,4.2,6.2,0.676,1.7,0.2,2.5,3.1,,,,,,1997,1.0,28
WNBA,WNBA,1997-98,1997,Tina Nicholson,,CLE,G,24,11.4,2.0,1.8,0.4,0.1,0.8,1.8,0.409,0.4,1.0,0.375,0.4,0.8,0.45,0.1,0.2,0.6,0.5,0.0,1.2,1.2,,,,,,1997,1.0,14
WNBA,WNBA,1997-98,1997,Eva Nemcova,,CLE,F,28,33.7,13.7,2.4,3.9,0.8,4.9,10.4,0.473,1.3,3.0,0.435,3.6,7.4,0.488,2.5,3.0,0.855,1.4,0.3,2.8,1.9,,,,,,1997,1.0,28
WNBA,WNBA,1997-98,1997,Judy Mosley-McAfee,,SAC,F,13,20.4,4.2,0.8,3.6,1.8,1.7,3.8,0.44,0.0,0.0,,1.7,3.8,0.44,0.8,0.8,1.0,0.6,0.2,1.8,2.3,,,,,,1997,1.0,9
WNBA,WNBA,1997-98,1997,Yolanda Moore,,HOU,F-C,13,7.2,1.2,0.1,1.0,0.5,0.4,1.5,0.25,0.0,0.0,,0.4,1.5,0.25,0.5,0.9,0.5,0.1,0.0,0.5,0.7,,,,,,1997,1.0,0
