player,cls,year,gp,mpg,ppg,fgm,fga,fg%,3pm,3pa,3p%,ftm,fta,ft%,orb,drb,rpg,apg,spg,bpg,tov,pf
Kee-Kee Clark,Fr,2003,29,38.2,24.9,8.0,20.1,.396,3.8,9.6,.392,5.2,6.1,.853,0.8,2.4,3.3,4.2,1.4,0.2,4.0,1.9
Carmelo Anthony,Fr,2003,35,36.4,22.2,7.9,17.5,.453,1.6,4.7,.337,4.8,6.8,.706,2.9,6.9,9.7,2.2,1.5,0.9,2.2,2.2
Darshan Luckey,Fr,2003,28,37.5,21.6,7.2,18.8,.383,1.6,5.9,.280,5.6,7.2,.777,0.8,4.4,5.1,1.6,1.7,0.3,4.1,2.3
Craig Smith,Fr,2003,31,31.9,19.9,7.8,12.9,.603,0.1,0.5,.200,4.3,6.3,.677,3.2,4.7,7.9,1.3,0.9,0.9,2.4,3.4
Ike Diogu,Fr,2003,32,32.2,19.0,6.6,10.8,.609,0.3,0.8,.375,5.6,7.7,.735,3.1,4.8,7.8,0.8,0.3,1.0,2.8,2.9
Jamar Wilson,Fr,2003,27,37.2,18.9,6.8,13.9,.488,1.2,3.4,.359,4.1,5.0,.815,1.5,2.3,3.8,3.3,0.8,0.1,3.6,3.0
Gary Neal,Fr,2003,29,32.1,18.6,5.8,14.6,.400,3.0,7.9,.374,4.0,4.9,.817,1.2,3.0,4.2,1.6,0.6,0.0,2.2,2.3
Johnny Hollingsworth,Fr,2003,28,35.7,17.4,5.7,11.2,.506,0.8,2.0,.386,5.3,6.9,.771,0.6,2.3,2.9,4.1,2.2,0.1,2.4,2.4
Brion Rush,Fr,2003,30,34.0,17.1,6.1,14.1,.434,3.0,7.2,.419,1.8,2.4,.775,0.8,3.0,3.8,2.9,1.6,0.1,2.7,2.5
Allen Lovett,Fr,2003,31,31.6,17.1,5.9,13.4,.439,0.5,1.8,.263,4.8,7.9,.615,2.3,4.7,7.1,2.0,1.2,0.3,3.2,2.3
J.J. Barea,Fr,2003,28,32.1,17.0,5.6,13.9,.407,1.7,5.4,.316,4.0,5.1,.785,0.8,2.3,3.0,3.9,1.6,0.0,2.8,2.6
Rashad McCants,Fr,2003,35,29.9,17.0,6.2,12.5,.493,2.1,5.0,.414,2.6,3.8,.697,1.9,3.0,4.9,1.5,1.4,0.5,2.3,2.7
Nate Carter,Fr,2003,24,31.1,16.3,5.5,11.3,.491,0.8,2.0,.375,4.5,5.7,.788,2.0,3.4,5.4,1.5,0.7,0.3,2.8,2.6
Bracey Wright,Fr,2003,30,33.6,16.2,5.2,12.1,.433,2.2,5.9,.375,3.5,4.7,.752,1.4,3.6,5.0,2.1,0.8,0.6,2.1,2.0
Thurman Zimmerman,Fr,2003,31,31.8,16.0,5.4,10.6,.506,1.0,2.9,.337,4.3,5.5,.782,2.4,5.3,7.6,1.8,1.6,0.2,3.0,3.0
Chris Bosh,Fr,2003,31,31.0,15.7,5.5,9.7,.560,0.7,1.5,.468,4.1,5.6,.730,3.1,5.9,9.0,1.2,1.0,2.1,2.3,2.4
Landy Thompson,Fr,2003,27,34.7,15.6,5.0,14.1,.355,2.3,6.4,.356,3.3,4.7,.701,1.6,2.7,4.3,2.6,1.6,0.1,2.2,2.7
Tim Smith,Fr,2003,31,32.5,15.3,5.6,12.7,.441,1.3,3.0,.424,2.8,3.9,.733,0.9,2.8,3.7,3.7,2.4,0.0,4.1,2.2
Daniel Horton,Fr,2003,30,36.1,15.2,5.0,13.5,.372,2.5,7.2,.343,2.7,3.5,.764,0.5,1.8,2.3,4.5,1.4,0.4,3.7,2.6
Gabe Martin,Fr,2003,28,32.9,15.1,4.3,10.1,.423,1.3,3.9,.327,5.3,6.1,.860,1.9,4.7,6.5,2.2,1.6,0.8,3.3,2.9
Kevin Criswell,Fr,2003,30,29.5,15.1,4.8,12.3,.391,2.1,6.0,.344,3.4,4.2,.803,1.6,2.9,4.4,1.4,1.1,0.3,1.6,2.6
J.J. Redick,Fr,2003,33,30.7,15.0,4.5,10.9,.413,2.9,7.2,.399,3.1,3.4,.919,0.6,1.9,2.5,2.0,1.2,0.1,1.6,1.7
