Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Svetlana Abrosimova,MIN,F,22,462,22,11,21.0,2.2,6.3,.353,0.9,2.4,.377,1.3,3.9,.337,1.3,2.1,.609,0.8,3.4,2.0,1.4,0.1,2.0,1.9,6.6
Chantelle Anderson,SAC,C,30,231,30,0,7.7,0.8,2.1,.391,0.0,0.0,,0.8,2.1,.391,0.9,1.2,.730,0.5,1.1,0.2,0.1,0.2,0.8,1.5,2.6
Mery Andrade,CHA,F,12,65,12,0,5.4,0.3,0.6,.429,0.0,0.1,.000,0.3,0.5,.500,0.3,0.3,1.000,0.1,0.3,0.6,0.0,0.1,0.3,1.0,0.8
Elena Baranova,NYL,F,34,1048,34,33,30.8,4.3,9.3,.463,1.6,3.4,.461,2.7,5.9,.465,1.4,1.6,.925,1.0,7.2,2.0,1.1,1.7,2.4,2.6,11.6
Adia Barnes,SEA,F,34,402,34,2,11.8,0.6,2.0,.304,0.1,0.2,.500,0.5,1.9,.286,0.6,0.9,.710,1.0,1.9,0.9,0.7,0.1,0.7,1.1,2.0
Alana Beard,WAS,G-F,34,1025,34,34,30.1,4.7,11.2,.418,0.6,1.6,.375,4.1,9.5,.426,3.1,4.4,.718,0.8,4.2,2.7,2.0,1.0,2.4,2.9,13.1
Lucienne Berthieu,HOU,F-C,16,134,16,0,8.4,0.8,2.1,.353,0.0,0.0,,0.8,2.1,.353,0.8,1.1,.722,0.8,1.7,0.3,0.4,0.1,0.6,1.8,2.3
Tully Bevilaqua,SEA,G,34,358,34,0,10.5,0.7,1.8,.400,0.3,0.8,.423,0.4,1.0,.382,0.6,0.9,.690,0.2,0.8,0.9,1.1,0.1,0.8,1.4,2.3
Agnieszka Bibrzycka,SAS,G-F,24,465,24,9,19.4,2.3,6.3,.364,1.1,3.5,.310,1.2,2.8,.433,1.0,1.1,.885,0.2,1.2,1.7,0.9,0.3,1.3,1.6,6.6
Sue Bird*,SEA,G,34,1136,34,34,33.4,4.4,9.6,.463,1.9,4.3,.438,2.6,5.3,.483,2.1,2.5,.859,0.6,3.1,5.4,1.5,0.1,2.6,1.4,12.9
Tera Bjorklund,CHA,C,4,13,4,0,3.3,0.3,0.8,.333,0.0,0.0,,0.3,0.8,.333,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.5
Debbie Black,CON,G,31,347,31,4,11.2,0.8,1.8,.464,0.0,0.0,.000,0.8,1.8,.473,0.1,0.1,.750,0.4,1.2,1.5,0.6,0.0,0.5,1.1,1.8
Octavia Blue,HOU,F,13,155,13,3,11.9,1.2,3.2,.381,0.0,0.3,.000,1.2,2.9,.421,0.9,1.0,.923,0.9,1.6,0.4,0.1,0.0,0.5,0.8,3.4
Ruthie Bolton,SAC,G,34,469,34,4,13.8,1.7,4.5,.370,0.9,2.3,.405,0.7,2.2,.333,0.4,0.6,.737,0.5,1.4,0.9,0.7,0.0,0.4,1.3,4.7
Coretta Brown,IND,G,26,398,26,0,15.3,1.4,4.2,.343,0.8,2.2,.357,0.7,2.0,.327,0.4,0.6,.625,0.4,1.3,1.6,0.3,0.0,1.2,1.2,4.0
Kiesha Brown,WAS,G,26,371,26,0,14.3,1.3,3.4,.398,0.5,1.1,.464,0.8,2.3,.367,0.8,0.9,.875,0.3,1.9,1.6,0.5,0.1,1.3,0.8,4.0
Jessica Brungo,CON,F,33,314,33,0,9.5,0.5,1.8,.305,0.3,1.2,.263,0.2,0.6,.381,0.1,0.2,.800,0.3,1.1,0.8,0.1,0.1,0.4,0.6,1.5
Rebekkah Brunson,SAC,F,34,494,34,1,14.5,1.7,4.1,.421,0.0,0.0,,1.7,4.1,.421,1.0,1.4,.717,1.2,3.6,0.6,0.7,0.4,0.9,1.4,4.4
Janell Burse,SEA,C,29,514,29,0,17.7,1.8,4.1,.429,0.0,0.0,,1.8,4.1,.429,1.3,2.3,.582,1.8,3.3,0.7,0.8,1.2,1.4,2.9,4.9
Tasha Butts,MIN,F,30,423,30,0,14.1,0.8,2.7,.300,0.3,1.2,.270,0.5,1.4,.326,0.6,0.8,.720,0.7,2.1,0.8,0.4,0.2,0.8,1.2,2.5
Edna Campbell,SAC,G,22,332,22,22,15.1,1.3,3.5,.382,0.7,1.8,.410,0.6,1.7,.351,0.0,0.1,.000,0.1,0.9,0.7,0.2,0.1,0.7,1.1,3.4
Dominique Canty,HOU,G,32,770,32,12,24.1,2.0,4.7,.420,0.0,0.1,.000,2.0,4.6,.426,1.6,2.3,.708,1.3,2.6,2.0,1.0,0.0,1.4,1.9,5.5
Amisha Carter,DET,F,2,13,2,0,6.5,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.5,1.0,.500,0.0,2.0,0.0,1.0,0.0,1.5,2.5,0.5
Swin Cash*,DET,F,32,1105,32,32,34.5,5.6,12.0,.469,0.3,0.7,.348,5.4,11.3,.476,4.9,6.8,.721,2.4,6.5,4.2,1.4,0.9,2.5,2.6,16.4
Tamika Catchings*,IND,F,34,1149,34,33,33.8,5.3,13.8,.385,1.6,4.9,.335,3.6,8.9,.412,4.5,5.2,.854,2.3,7.3,3.4,2.0,1.1,2.3,2.6,16.7
Kaayla Chones,WAS,C,13,115,13,1,8.8,0.8,2.1,.407,0.0,0.0,,0.8,2.1,.407,0.5,0.8,.545,0.6,1.3,0.3,0.1,0.3,0.8,1.0,2.2
Kayte Christensen,PHO,F,32,407,32,1,12.7,0.6,1.5,.388,0.0,0.0,,0.6,1.5,.388,0.4,0.6,.632,0.8,2.2,0.7,0.7,0.2,0.8,2.8,1.6
Shameka Christon,NYL,G,33,560,33,4,17.0,2.0,5.7,.354,0.7,2.5,.293,1.3,3.2,.402,1.0,1.5,.647,0.6,2.1,0.7,0.3,0.3,1.0,2.2,5.8
Monique Coker,LAS,F-C,3,14,3,0,4.7,0.3,0.3,1.000,0.3,0.3,1.000,0.0,0.0,,0.0,0.0,,0.3,0.3,1.0,0.0,0.3,1.0,0.7,1.0
Stacey Dales,WAS,F,31,782,31,26,25.2,2.8,7.4,.382,1.3,3.8,.336,1.5,3.5,.431,1.3,1.8,.727,0.5,2.1,2.5,0.6,0.1,1.2,2.0,8.2
Helen Darling,MIN,G,33,707,33,22,21.4,1.3,3.9,.331,0.4,1.7,.218,0.9,2.3,.413,1.3,1.9,.667,0.3,2.0,3.5,0.9,0.1,2.2,2.5,4.2
Anna DeForge,PHO,G,34,1152,34,34,33.9,4.9,11.6,.417,2.1,5.3,.387,2.8,6.3,.442,2.6,3.0,.863,0.7,3.6,3.1,1.5,0.2,2.0,1.5,14.4
Jennifer Derevjanik,CON,G,23,140,23,0,6.1,0.3,1.1,.269,0.1,0.5,.250,0.2,0.6,.286,0.1,0.1,1.000,0.0,0.4,0.6,0.3,0.0,0.4,0.9,0.8
Tai Dillard,SAS,G,23,205,23,0,8.9,0.7,2.3,.296,0.2,0.8,.278,0.5,1.6,.306,0.0,0.0,.000,0.1,0.6,0.8,0.2,0.0,0.6,0.8,1.6
Tamecka Dixon,LAS,G,32,913,32,21,28.5,3.7,8.4,.442,0.2,0.3,.455,3.6,8.1,.442,2.1,2.7,.782,1.0,3.4,3.5,1.1,0.0,2.2,2.7,9.7
Bethany Donaphin,NYL,F-C,26,479,26,16,18.4,1.9,4.1,.462,0.0,0.0,,1.9,4.1,.462,1.3,2.3,.541,1.2,2.7,0.6,0.4,0.3,0.8,2.3,5.0
Katie Douglas,CON,G-F,34,1120,34,34,32.9,3.7,9.4,.389,1.6,4.5,.346,2.1,4.9,.429,1.8,2.3,.792,1.0,3.9,2.6,1.5,0.4,1.5,2.1,10.7
Margo Dydek,SAS,C,34,682,34,24,20.1,2.6,6.1,.433,0.0,0.1,.500,2.6,6.1,.432,1.3,1.7,.759,0.9,4.9,1.8,0.6,1.4,1.9,2.1,6.6
Simone Edwards,SEA,C,23,257,23,3,11.2,0.9,2.4,.364,0.0,0.0,,0.9,2.4,.364,0.3,0.8,.421,1.1,2.4,0.2,0.3,0.1,0.6,1.1,2.1
Teresa Edwards*,MIN,G-F,34,697,34,34,20.5,2.2,5.9,.370,0.7,2.5,.294,1.4,3.4,.426,0.6,0.9,.700,0.9,2.6,2.3,1.4,0.2,2.7,1.1,5.7
Barbara Farris,DET,F-C,26,422,26,0,16.2,1.6,3.1,.513,0.0,0.0,,1.6,3.1,.513,1.4,2.1,.667,1.1,2.3,0.3,0.3,0.1,1.0,1.8,4.5
Allison Feaster,CHA,F,33,1052,33,32,31.9,4.0,10.1,.398,1.4,4.3,.315,2.6,5.7,.460,2.4,2.8,.868,0.7,2.5,1.8,0.8,0.2,2.1,1.8,11.8
Marie Ferdinand-Harris,SAS,G,17,509,17,17,29.9,3.9,9.5,.414,0.6,1.6,.370,3.4,7.9,.422,3.2,3.8,.859,1.1,3.2,1.7,1.9,0.1,2.1,2.0,11.7
Cheryl Ford,DET,F,31,912,31,31,29.4,3.8,9.3,.411,0.0,0.0,,3.8,9.3,.411,3.0,5.1,.589,3.4,9.6,1.1,1.3,0.8,1.7,3.8,10.6
Trina Frierson,SEA,F,5,22,5,0,4.4,0.4,1.8,.222,0.0,0.2,.000,0.4,1.6,.250,0.6,0.6,1.000,0.6,1.0,0.0,0.0,0.0,0.2,1.4,1.4
Candace Futrell,CON,G,20,144,20,0,7.2,0.6,1.9,.289,0.4,0.9,.412,0.2,1.1,.190,0.7,0.8,.813,0.4,1.0,0.5,0.3,0.1,0.4,1.0,2.1
