player,Team,Pos,G,MP,G.1,GS,MP.1,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,season
Anita Maxwell,CLE,F,9,63,9,0,7.0,0.9,2.8,0.32,0.0,0.0,,0.9,2.8,0.32,0.3,0.9,0.375,0.2,1.3,0.9,0.4,0.0,0.7,0.6,2.1,1997
Tammi Reiss,UTA,G,28,831,28,26,29.7,2.6,8.3,0.312,1.1,3.6,0.297,1.5,4.6,0.323,1.5,2.0,0.764,1.0,2.8,3.1,0.8,0.1,2.2,2.0,7.7,1997
Catarina Pollini,HOU,F,13,94,13,0,7.2,0.6,1.7,0.364,0.0,0.0,,0.6,1.7,0.364,0.5,0.9,0.5,0.2,0.9,0.4,0.3,0.1,0.6,1.6,1.7,1997
Bridget Pettis,PHO,G,28,842,28,28,30.1,3.8,11.4,0.334,1.5,4.8,0.306,2.4,6.6,0.355,3.5,3.9,0.898,1.3,3.8,2.8,1.8,0.4,2.9,2.0,12.6,1997
Kim Perrot,HOU,G,28,692,28,24,24.7,2.1,5.8,0.364,1.0,3.5,0.283,1.1,2.3,0.492,0.5,1.3,0.405,0.6,2.7,3.1,2.5,0.1,2.3,1.9,5.8,1997
Jasmina Perazic-Gipe,NYL,G-F,9,47,9,0,5.2,0.6,1.4,0.385,0.0,0.3,0.0,0.6,1.1,0.5,0.0,0.0,,0.2,1.2,0.4,0.3,0.0,0.8,0.1,1.1,1997
Wendy Palmer,UTA,F,28,936,28,28,33.4,5.6,15.0,0.374,0.4,1.7,0.25,5.2,13.3,0.39,4.2,6.2,0.676,2.7,8.0,1.7,1.7,0.2,2.5,3.1,15.8,1997
Tina Nicholson,CLE,G,24,273,24,14,11.4,0.8,1.8,0.409,0.4,1.0,0.375,0.4,0.8,0.45,0.1,0.2,0.6,0.1,0.4,1.8,0.5,0.0,1.2,1.2,2.0,1997
Eva Nemcova,CLE,F,28,944,28,28,33.7,4.9,10.4,0.473,1.3,3.0,0.435,3.6,7.4,0.488,2.5,3.0,0.855,0.8,3.9,2.4,1.4,0.3,2.8,1.9,13.7,1997
Judy Mosley-McAfee,SAC,F,13,265,13,9,20.4,1.7,3.8,0.44,0.0,0.0,,1.7,3.8,0.44,0.8,0.8,1.0,1.8,3.6,0.8,0.6,0.2,1.8,2.3,4.2,1997
Yolanda Moore,HOU,F-C,13,93,13,0,7.2,0.4,1.5,0.25,0.0,0.0,,0.4,1.5,0.25,0.5,0.9,0.5,0.5,1.0,0.1,0.1,0.0,0.5,0.7,1.2,1997
Penny Moore,CHA,F,28,539,28,9,19.3,2.0,5.7,0.358,0.2,0.9,0.2,1.9,4.8,0.388,0.6,1.1,0.516,0.5,2.6,1.0,0.6,0.4,1.6,1.3,4.8,1997
Pamela McGee,SAC,F-C,27,691,27,23,25.6,3.8,8.2,0.459,0.1,0.3,0.286,3.7,8.0,0.465,2.9,4.1,0.705,2.0,4.4,0.7,1.0,0.5,2.7,4.2,10.6,1997
